trialType,trial,purpleBet,response,betScaling,score,RT,nHits,pinkBet,exploded,confidence,ballColour,subjectID
trial,136,,1,,1950,1266.5999999999767,54,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,137,,1,,2050,916.2000000000116,55,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,138,,2,,2000,533.0999999999767,55,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,139,,1,,2000,1216.0999999999767,55,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,140,,1,,1950,349.29999999998836,55,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,141,,2,,1900,750.3999999999651,55,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,142,,1,,1850,634.2999999999884,55,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,143,,2,,1950,515.9000000000233,56,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,144,,1,,1950,1316.0,56,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,145,,2,,1900,433.30000000004657,56,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,146,,1,,2000,516.1999999999534,57,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,147,,1,,1950,1450.2999999999884,57,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,148,,1,,1900,249.89999999996508,57,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,149,,2,,1900,750.0999999999767,57,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,150,,1,,2000,116.60000000003492,58,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,151,,1,,1950,1532.4000000000233,58,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,152,,2,,2050,767.3999999999651,59,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,153,,1,,2050,1665.7999999999884,59,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,154,,1,,2150,12866.400000000023,60,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,155,,1,,2250,12866.400000000023,61,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,156,,1,,2350,10198.900000000023,62,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,157,,2,,2350,3700.600000000035,62,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,158,,2,,2300,2732.2999999999884,62,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,159,,1,,2400,666.2000000000116,63,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,160,,2,,2350,1466.7000000000116,63,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,161,,1,,2450,633.4000000000233,64,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,162,,2,,2400,1433.3000000000466,64,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,163,,1,,2500,665.7000000000116,65,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,164,,1,,2600,2033.4000000000233,66,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,165,,2,,2550,1967.0,66,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,166,,1,,2550,899.5999999999767,66,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,167,,1,,2650,3067.0999999999767,67,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,168,,2,,2600,2066.600000000093,67,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,169,,2,,2700,666.1999999999534,68,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,170,,1,,2700,5182.29999999993,68,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,171,,2,,2650,1083.2999999999302,68,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,172,,1,,2600,983.6999999999534,68,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,173,,2,,2550,616.4000000000233,68,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,174,,1,,2650,800.0,69,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,175,,1,,2750,2717.3000000000466,70,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,176,,2,,2700,1533.8999999999069,70,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,177,,1,,2650,832.8999999999069,70,,True,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,178,,2,,2750,533.5999999999767,71,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,179,,1,,2850,1482.5999999999767,72,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,180,,1,,2850,3216.5999999999767,72,,False,0.5,grey,1gfPXeiIe6W3NmamHu6phX2lrno1
trial,1,,2,,0,450.09999999999854,0,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,2,,1,,-50,16.5,0,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,3,,2,,-100,550.0999999999985,0,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,4,,1,,-150,583.4000000000015,0,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,5,,2,,-150,499.8000000000029,0,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,6,,1,,-200,1199.5999999999985,0,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,7,,2,,-100,599.6999999999971,1,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,8,,2,,0,1566.5999999999985,2,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,9,,2,,-50,1466.5,2,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,10,,1,,-100,300.0,2,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,11,,2,,-150,399.90000000000146,2,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,12,,1,,-200,566.5,2,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,13,,2,,-250,366.79999999999563,2,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,14,,2,,-150,516.5999999999985,3,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,15,,1,,-200,1483.5,3,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,16,,2,,-100,300.0,4,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,17,,1,,-150,1416.5,4,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,18,,2,,-50,33.39999999999418,5,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,19,,2,,50,1466.699999999997,6,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,20,,2,,50,1332.9000000000087,6,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,21,,2,,0,66.40000000000873,6,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,22,,1,,100,433.29999999998836,7,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,23,,2,,50,1349.7999999999884,7,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,24,,1,,150,583.3999999999942,8,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,25,,2,,250,116.29999999998836,9,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,26,,1,,350,1299.800000000003,10,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,27,,2,,300,1316.5,10,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,28,,1,,250,700.0,10,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,29,,2,,350,415.90000000000873,11,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,30,,1,,300,1483.0999999999913,11,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,31,,2,,250,516.5,11,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,32,,1,,200,500.0,11,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,33,,2,,200,466.5,11,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,34,,1,,150,149.59999999999127,11,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,35,,2,,150,300.0,11,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,36,,1,,100,1349.800000000003,11,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,37,,2,,200,416.5,12,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,38,,1,,150,1549.699999999997,12,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,39,,2,,250,399.70000000001164,13,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,40,,1,,350,1382.800000000003,14,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,41,,2,,450,1216.300000000003,15,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,42,,1,,400,1283.0,15,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,43,,2,,350,583.1000000000058,15,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,44,,2,,300,333.29999999998836,15,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
